Policy_ID,Policy_Number,Customer_ID,State,Region,Product,Line_of_Business,Agent,Underwriter,Policy_Status,Risk_Level,Effective_Date,Expiration_Date,Written_Premium,Earned_Premium,Claim_Count,Claim_Amount,Paid_Claim_Amount,Outstanding_Reserve,Coverage_Type,Claim_Status,Claim_Type,Loss_Date,Reported_Date,Distribution_Channel,Loss_Ratio
POL00001,PN-205907,CUST00001,MD,South,Auto,Personal Auto,Kimberly Garcia,Paul Williams,Active,Low,2025-12-19,2026-06-17,1299.47,1005.7,1,4202.3,4061.1,0.0,Collision,Closed,Weather,2026-02-15,2026-02-16,Online,4.178482648901263
POL00002,PN-944151,CUST00002,MA,Northeast,Auto,Personal Auto,Kimberly Allen,Mark Miller,Active,Low,2025-10-20,2026-10-15,732.35,574.34,0,0.0,0.0,0.0,Personal Injury,No Claim,No Claim,,,Direct,0.0
POL00003,PN-711878,CUST00003,CT,Northeast,Commercial Property,Commercial Property,Ashley Brown,Donna Davis,Active,Low,2025-10-04,2026-09-29,8502.18,2901.73,0,0.0,0.0,0.0,Liability,No Claim,No Claim,,,Agent,0.0
POL00004,PN-654816,CUST00004,OH,Midwest,Commercial Property,Commercial Property,Thomas Brown,Brian Lee,Active,Medium,2025-10-18,2026-10-13,4160.29,2475.04,0,0.0,0.0,0.0,Liability,No Claim,No Claim,,,Agent,0.0
POL00005,PN-624902,CUST00005,OH,Midwest,Commercial Property,Commercial Property,Angela Allen,Donna Anderson,Active,High,2025-01-17,2026-01-12,11486.39,7405.62,1,23284.19,22696.26,0.0,Property,Closed,Fire,2025-06-23,2025-06-30,Agent,3.1441243272001533
POL00006,PN-160738,CUST00006,IL,Midwest,Commercial Property,Commercial Property,John Davis,Donna Davis,Pending,High,2024-05-08,2025-05-03,13407.48,221.39,0,0.0,0.0,0.0,Liability,No Claim,No Claim,,,Broker,0.0
POL00007,PN-322086,CUST00007,FL,South,Commercial Auto,Commercial Auto,Ryan Lee,Donna Anderson,Cancelled,Low,2025-06-13,2026-06-08,2670.5,942.29,0,0.0,0.0,0.0,Liability,No Claim,No Claim,,,Broker,0.0
POL00008,PN-717024,CUST00008,NY,Northeast,Commercial Auto,Commercial Auto,James Lewis,Edward White,Active,Low,2025-06-10,2026-06-05,3655.04,2377.61,0,0.0,0.0,0.0,Comprehensive,No Claim,No Claim,,,Agent,0.0
POL00009,PN-704201,CUST00009,FL,South,Home,Homeowners,David Clark,Nancy Martinez,Cancelled,Low,2025-02-24,2026-02-19,2142.39,1161.33,0,0.0,0.0,0.0,Property,No Claim,No Claim,,,Broker,0.0
POL00010,PN-522179,CUST00010,FL,South,Commercial Property,Commercial Property,Robert Perez,Nancy Martinez,Active,Low,2024-10-12,2025-10-07,4763.13,2800.89,0,0.0,0.0,0.0,Property,No Claim,No Claim,,,Broker,0.0
POL00011,PN-153045,CUST00011,OH,Midwest,Commercial Auto,Commercial Auto,John Davis,Edward White,Active,Low,2025-02-14,2025-08-13,2792.9,1546.64,0,0.0,0.0,0.0,Collision,No Claim,No Claim,,,Agent,0.0
POL00012,PN-399105,CUST00012,CA,West,Commercial Property,Commercial Property,Mark Rodriguez,Donna Davis,Active,Low,2025-08-16,2026-02-12,7685.91,5224.23,0,0.0,0.0,0.0,Property,No Claim,No Claim,,,Direct,0.0
POL00013,PN-159642,CUST00013,NY,Northeast,Commercial Auto,Commercial Auto,John Davis,Maria Lewis,Active,Medium,2025-08-06,2026-08-01,6091.85,2152.18,0,0.0,0.0,0.0,Comprehensive,No Claim,No Claim,,,Agent,0.0
POL00014,PN-648177,CUST00014,MA,Northeast,Auto,Personal Auto,Carlos Rodriguez,Mark Miller,Active,Low,2024-11-03,2025-10-29,1038.35,360.47,0,0.0,0.0,0.0,Liability,No Claim,No Claim,,,Online,0.0
POL00015,PN-176819,CUST00015,OH,Midwest,Auto,Personal Auto,Steven Thompson,Maria Lewis,Active,High,2025-07-10,2026-07-05,2441.06,1769.98,2,27571.95,1475.6,22598.58,Liability,Open,Theft,2025-11-26,2025-12-05,Agent,15.577548898857614
POL00016,PN-734210,CUST00016,VA,South,Auto,Personal Auto,Kimberly Garcia,Laura King,Active,Medium,2024-02-22,2024-08-20,1825.37,599.92,1,9024.16,8249.46,0.0,Collision,Closed,Theft,2024-02-24,2024-02-27,Direct,15.04227230297373
POL00017,PN-178898,CUST00017,CA,West,Commercial Property,Commercial Property,Mark Rodriguez,John Walker,Active,High,2024-05-10,2024-11-06,8600.12,7030.42,0,0.0,0.0,0.0,Liability,No Claim,No Claim,,,Agent,0.0
POL00018,PN-320281,CUST00018,TX,South,Auto,Personal Auto,George Wilson,Jennifer Robinson,Cancelled,High,2024-08-30,2025-08-25,3180.7,2159.22,2,41924.44,37313.63,0.0,Personal Injury,Closed,Theft,2025-08-24,2025-08-27,Direct,19.416474467631833
POL00019,PN-501124,CUST00019,GA,South,Home,Homeowners,Ryan Lee,Elizabeth Williams,Expired,Low,2024-08-16,2025-02-12,1911.59,1911.59,1,3956.45,3945.26,0.0,Liability,Closed,Weather,2024-12-31,2025-01-10,Direct,2.069716832584393
POL00020,PN-128941,CUST00014,PA,Northeast,Home,Homeowners,Susan Johnson,John Walker,Active,Low,2024-11-17,2025-11-12,1850.46,1018.45,0,0.0,0.0,0.0,Liability,No Claim,No Claim,,,Online,0.0
POL00021,PN-146542,CUST00020,NJ,Northeast,Home,Homeowners,Linda Williams,Nancy Martinez,Active,Low,2024-12-04,2025-11-29,1832.08,1621.45,0,0.0,0.0,0.0,Liability,No Claim,No Claim,,,Online,0.0
POL00022,PN-442027,CUST00021,MA,Northeast,Home,Homeowners,Ryan Lee,Jennifer Robinson,Active,Medium,2024-06-27,2025-06-22,1938.67,964.52,2,13850.25,13421.73,0.0,Liability,Closed,Weather,2024-09-21,2024-10-12,Online,14.359733338862855
POL00023,PN-188914,CUST00022,TX,South,Home,Homeowners,David Davis,Maria Lewis,Cancelled,High,2024-08-18,2025-08-13,1570.28,1162.58,0,0.0,0.0,0.0,Property,No Claim,No Claim,,,Online,0.0
POL00024,PN-577538,CUST00023,TX,South,Home,Homeowners,Carlos Rodriguez,Maria Harris,Active,Medium,2024-01-06,2024-07-04,2541.69,2090.98,0,0.0,0.0,0.0,Liability,No Claim,No Claim,,,Online,0.0
